site,event_id,Eventdate,DTW_mean_2d,DTW_var_2d,DTW_sd_2d,DTW_cv_2d,DTW_relvar_2d
SLOC,SLOC_DO1,2023-10-09T04:45:00Z,-0.06270780434229169,9.22114835278431e-5,0.009602681059362697,-15.313374722779782,0.00930064332957109
SLOC,SLOC_DO2,2023-10-10T04:00:00Z,-0.04768265068500869,7.311310802212449e-5,0.008550620329667578,-17.932351089608936,0.00737434118197283
SLOC,SLOC_DO3,2023-10-11T04:15:00Z,-0.03181707677014534,1.1136899394870676e-4,0.010553150901446769,-33.16819762445625,0.011232909948545871
SLOC,SLOC_DO4,2023-11-18T02:15:00Z,0.06418557365655447,1.3733518543431117e-4,0.011719009575655751,18.258011743202726,0.013851914397834784
SLOC,SLOC_DO5,2023-11-21T23:15:00Z,0.048947797654656885,1.3111050349361603e-4,0.011450349492203984,23.392981994797882,0.013224079942130066
SLOC,SLOC_DO6,2023-12-06T00:15:00Z,0.03015944690588735,4.571713595980625e-5,0.006761444813041533,22.418994732034186,0.004611126069599331
SLOC,SLOC_DO7,2023-12-18T18:00:00Z,0.0799067992129123,6.896790772435513e-5,0.008304691910261038,10.392972803394516,0.006956247599436078
SLOC,SLOC_DO8,2024-01-19T19:30:00Z,-0.14989043346134412,8.162395896996054e-5,0.009034597886456294,-6.027467982995903,0.008232763431226243
SLOC,SLOC_DO9,2024-01-21T01:00:00Z,-0.14276240465511353,1.3123617398186176e-4,0.011455835804595915,-8.024406588184759,0.013236755330742306
SLOC,SLOC_DO10,2024-01-21T14:45:00Z,-0.13437445779028823,1.7688184111206825e-4,0.01329969327135285,-9.897486092266911,0.01784067290452464
SLOC,SLOC_DO11,2024-02-10T22:00:00Z,-0.12396420002198391,5.9985826251552064e-5,0.007745051726848057,-6.24781326017878,0.006050296052626125
SLOC,SLOC_DO12,2024-02-21T17:45:00Z,-0.12391990488522427,6.718809559952197e-5,0.008196834486527221,-6.614622964824902,0.006776732021403749
SLOC,SLOC_DO13,2024-03-20T16:00:00Z,0.01623293560717508,1.6114886474453383e-4,0.012694442277805426,78.2017657495936,0.01625381196151828
SLOC,SLOC_DO14,2024-04-14T12:30:00Z,-0.04459406559912347,1.312552196097377e-4,0.01145666703756977,-25.691012657511454,0.013238676312653505
SLOC,SLOC_DO15,2024-04-15T09:30:00Z,-0.04543123471450816,1.4312461072976654e-4,0.01196346984489728,-26.333138247455175,0.014435847956825499
SLOC,SLOC_DO16,2024-05-23T16:45:00Z,0.20594707985459715,8.85814571968356e-6,0.0029762637181008607,1.4451594653355433,8.934511272152687e-4
SLOC,SLOC_DO17,2024-07-17T20:00:00Z,0.019521709641659293,1.9118560588222261e-4,0.013826988315689813,70.82877765061644,0.019283380572893524
SLOC,SLOC_DO18,2024-08-19T16:15:00Z,-0.052731674514882275,1.9358419581746682e-4,0.013913453770270947,-26.385382027540587,0.019525307376672463
SLOW,SLOW_DO1,2023-10-16T20:30:00Z,-0.5903380126243911,9.657338706943057e-5,0.009827175945785777,-1.6646693480059573,0.005917932981574455
SLOW,SLOW_DO2,2023-11-21T23:30:00Z,-0.35520899942142303,9.301975383240313e-5,0.009644674895111971,-2.7152113011836856,0.005700169434328209
SLOW,SLOW_DO3,2023-12-18T17:45:00Z,-0.28634688660707314,6.096938140774076e-5,0.007808289275362482,-2.7268636889623536,0.003736150548801383
SLOW,SLOW_DO4,2024-01-19T19:45:00Z,-0.5948646109191167,7.306855324774273e-5,0.008548014579289318,-1.4369680801959128,0.004477577252932686
SLOW,SLOW_DO5,2024-02-21T17:15:00Z,-0.5631186580498634,1.4120264237933874e-4,0.011882871806905044,-2.110189679748248,0.008652774845945751
SLOW,SLOW_DO6,2024-03-20T16:00:00Z,-0.4520666367174125,1.075548886872446e-4,0.010370867306413895,-2.2941014585194304,0.006590869828705564
SLOW,SLOW_DO7,2024-05-14T20:15:00Z,-0.17880404039826478,3.197982734117239e-5,0.0056550709404190845,-3.1627198847537703,0.0019596959443010714
SLOW,SLOW_DO8,2024-07-17T20:00:00Z,-0.46553475261545935,1.5224396535134523e-4,0.012338718140525994,-2.6504397515340843,0.009329377493518587
SLOW,SLOW_DO9,2024-08-19T16:30:00Z,-0.493706170237928,2.0332643224650948e-4,0.014259257773338327,-2.888207325111305,0.012459666538902694
