"site","event_id","category","accrual_rate_hourly_mgL_hr","accrual_duration_hr","accrual_total_mgL","ER_rate_hourly_mgL_hr","ER_duration_hr","ER_total_mgL","gross_total_mgL","accrual_rate_hourly_areal_gO2_m2_hr","accrual_total_areal_gO2_m2","ER_rate_hourly_areal_gO2_m2_hr","ER_total_areal_gO2_m2","gross_total_areal_gO2_m2","ER_rate_hourly_mgL_hr_as_CO2_mid","ER_rate_hourly_mgL_hr_as_CO2_low","ER_rate_hourly_mgL_hr_as_CO2_high","ER_rate_hourly_mgL_hr_as_C_mid","ER_rate_hourly_mgL_hr_as_C_low","ER_rate_hourly_mgL_hr_as_C_high","ER_total_mgL_as_CO2_mid","ER_total_mgL_as_CO2_low","ER_total_mgL_as_CO2_high","ER_total_mgL_as_C_mid","ER_total_mgL_as_C_low","ER_total_mgL_as_C_high","ER_rate_hourly_areal_gO2_m2_hr_as_CO2_mid","ER_rate_hourly_areal_gO2_m2_hr_as_CO2_low","ER_rate_hourly_areal_gO2_m2_hr_as_CO2_high","ER_rate_hourly_areal_gO2_m2_hr_as_C_mid","ER_rate_hourly_areal_gO2_m2_hr_as_C_low","ER_rate_hourly_areal_gO2_m2_hr_as_C_high","ER_total_areal_gO2_m2_as_CO2_mid","ER_total_areal_gO2_m2_as_CO2_low","ER_total_areal_gO2_m2_as_CO2_high","ER_total_areal_gO2_m2_as_C_mid","ER_total_areal_gO2_m2_as_C_low","ER_total_areal_gO2_m2_as_C_high"
"SLOC",1,"metabolism",0.280909090909091,1,0.280909090909091,-0.162727272727273,2,-0.325454545454545,0.606363636363636,0.280909090909091,0.280909090909091,-0.162727272727273,-0.325454545454545,0.606363636363636,0.2685,0.111875,0.895,0.0732272727272727,0.0305113636363636,0.244090909090909,0.537,0.22375,1.79,0.146454545454545,0.0610227272727273,0.488181818181818,0.2685,0.111875,0.895,0.0732272727272727,0.0305113636363636,0.244090909090909,0.537,0.22375,1.79,0.146454545454545,0.0610227272727273,0.488181818181818
"SLOC",2,"metabolism",0.526433566433566,3.25,1.71090909090909,-0.404705882352941,4.25,-1.72,3.43090909090909,0.526433566433566,1.71090909090909,-0.404705882352941,-1.72,3.43090909090909,0.667764705882353,0.278235294117647,2.22588235294118,0.182117647058823,0.0758823529411765,0.607058823529412,2.838,1.1825,9.46,0.774,0.3225,2.58,0.667764705882353,0.278235294117647,2.22588235294118,0.182117647058823,0.0758823529411765,0.607058823529412,2.838,1.1825,9.46,0.774,0.3225,2.58
"SLOC",3,"metabolism",0.547272727272727,1.5,0.820909090909091,-0.195508021390374,4.25,-0.830909090909091,1.65181818181818,0.547272727272727,0.820909090909091,-0.195508021390374,-0.830909090909091,1.65181818181818,0.322588235294118,0.134411764705882,1.07529411764706,0.0879786096256684,0.0366577540106952,0.293262032085561,1.371,0.57125,4.57,0.373909090909091,0.155795454545455,1.24636363636364,0.322588235294118,0.134411764705882,1.07529411764706,0.0879786096256684,0.0366577540106952,0.293262032085561,1.371,0.57125,4.57,0.373909090909091,0.155795454545455,1.24636363636364
"SLOC",4,"other",0.347878787878788,0.75,0.260909090909091,-0.208,1.25,-0.26,0.520909090909091,0.347878787878788,0.260909090909091,-0.208,-0.26,0.520909090909091,0.3432,0.143,1.144,0.0936,0.039,0.312,0.429,0.17875,1.43,0.117,0.04875,0.39,0.3432,0.143,1.144,0.0936,0.039,0.312,0.429,0.17875,1.43,0.117,0.04875,0.39
"SLOC",5,"other",0.92,0.25,0.23,NA,0,0,0.23,0.92,0.23,NA,0,0.23,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"SLOC",6,"metabolism",2.55272727272727,0.25,0.638181818181818,-1.27636363636364,0.5,-0.638181818181818,1.27636363636364,2.55272727272727,0.638181818181818,-1.27636363636364,-0.638181818181818,1.27636363636364,2.106,0.8775,7.02,0.574363636363636,0.239318181818182,1.91454545454545,1.053,0.43875,3.51,0.287181818181818,0.119659090909091,0.957272727272727,2.106,0.8775,7.02,0.574363636363636,0.239318181818182,1.91454545454545,1.053,0.43875,3.51,0.287181818181818,0.119659090909091,0.957272727272727
"SLOC",7,"metabolism",0.84,0.25,0.21,-0.266666666666667,0.75,-0.2,0.41,0.84,0.21,-0.266666666666667,-0.2,0.41,0.44,0.183333333333333,1.46666666666667,0.12,0.05,0.4,0.33,0.1375,1.1,0.09,0.0375,0.3,0.44,0.183333333333333,1.46666666666667,0.12,0.05,0.4,0.33,0.1375,1.1,0.09,0.0375,0.3
"SLOC",8,"metabolism",0.62,0.5,0.31,-0.4,0.75,-0.3,0.61,0.62,0.31,-0.4,-0.3,0.61,0.66,0.275,2.2,0.18,0.075,0.6,0.495,0.20625,1.65,0.135,0.05625,0.45,0.66,0.275,2.2,0.18,0.075,0.6,0.495,0.20625,1.65,0.135,0.05625,0.45
"SLOC",9,"metabolism",0.127272727272727,2.75,0.35,-0.0950303030303031,3.75,-0.356363636363636,0.706363636363637,0.127272727272727,0.35,-0.0950303030303031,-0.356363636363636,0.706363636363637,0.1568,0.0653333333333334,0.522666666666667,0.0427636363636364,0.0178181818181818,0.142545454545455,0.588,0.245,1.96,0.160363636363636,0.0668181818181818,0.534545454545455,0.1568,0.0653333333333334,0.522666666666667,0.0427636363636364,0.0178181818181818,0.142545454545455,0.588,0.245,1.96,0.160363636363636,0.0668181818181818,0.534545454545455
"SLOC",10,"metabolism",0.260568181818182,32,8.33818181818181,-0.218684210526316,38,-8.30999999999999,16.6481818181818,0.260568181818182,8.33818181818181,-0.218684210526316,-8.30999999999999,16.6481818181818,0.360828947368421,0.150345394736842,1.20276315789474,0.0984078947368421,0.0410032894736842,0.328026315789474,13.7115,5.713125,45.705,3.7395,1.558125,12.465,0.360828947368421,0.150345394736842,1.20276315789474,0.0984078947368421,0.0410032894736842,0.328026315789474,13.7115,5.713125,45.705,3.7395,1.558125,12.465
