"","x"
"1",2023-09-22 16:45:00
"2",2023-10-06 10:00:00
"3",2023-10-13 10:15:00
"4",2023-10-20 10:15:00
"5",2023-10-27 10:30:00
"6",2023-11-03 10:30:00
"7",2023-11-10 09:45:00
"8",2023-11-17 10:30:00
"9",2023-11-22 14:30:00
"10",2023-12-01 09:45:00
"11",2023-12-08 09:45:00
"12",2023-12-21 14:30:00
"13",2024-01-05 16:00:00
"14",2024-01-19 16:00:00
"15",2024-01-25 13:00:00
"16",2024-02-06 10:15:00
"17",2024-02-20 12:45:00
"18",2024-03-05 14:00:00
"19",2024-03-19 13:45:00
"20",2024-04-02 09:45:00
"21",2024-04-16 14:30:00
"22",2024-04-30 10:30:00
"23",2024-05-28 14:45:00
"24",2024-06-10 10:45:00
"25",2024-06-11 13:30:00
"26",2024-06-24 11:15:00
"27",2024-06-28 14:00:00
"28",2024-07-09 13:15:00
"29",2024-07-22 10:30:00
"30",2024-08-05 10:00:00
"31",2024-08-21 10:30:00
"32",2024-09-04 12:30:00
