"","x"
"1",2023-09-22 17:15:00
"2",2023-10-06 10:45:00
"3",2023-10-13 11:00:00
"4",2023-10-20 10:45:00
"5",2023-10-27 11:15:00
"6",2023-11-03 11:15:00
"7",2023-11-03 14:15:00
"8",2023-11-10 10:30:00
"9",2023-11-17 11:00:00
"10",2023-11-22 15:00:00
"11",2023-12-01 10:15:00
"12",2023-12-08 10:15:00
"13",2023-12-21 15:15:00
"14",2024-01-05 16:45:00
"15",2024-01-19 16:30:00
"16",2024-01-25 13:15:00
"17",2024-02-06 10:45:00
"18",2024-02-20 13:15:00
"19",2024-03-05 14:30:00
"20",2024-03-19 14:15:00
"21",2024-04-02 10:00:00
"22",2024-04-16 15:30:00
"23",2024-04-17 18:15:00
"24",2024-04-30 11:15:00
"25",2024-05-28 15:30:00
"26",2024-06-10 11:15:00
"27",2024-06-11 13:30:00
"28",2024-06-24 11:45:00
"29",2024-06-28 13:45:00
"30",2024-07-02 12:30:00
"31",2024-07-09 13:30:00
"32",2024-07-22 11:00:00
"33",2024-08-05 10:30:00
"34",2024-08-21 11:30:00
"35",2024-09-04 13:15:00
