date,time,siteID,wellID,casinght_cm,totalwelldepth_cm,depthtowater_cm,waterlevelbelowsurface_cm,totalwaterdepth_cm,notes
2023-09-15,NA,VDO,VDOW,50,458,207.8,157.8,250.2,
2023-09-15,NA,VDO,VDOS,53,423,217,164,206,
2023-09-15,NA,SLO,SLOC,72,170,77,5,93,"total well depth recorded on this date is 95 cm but is incorrect. notes say that PT is at 153 cm, so well has to be at least that deep. I'm replacing the 95 cm with the 170 cm depth measured on 2023-08-22"
2023-09-15,NA,SLO,SLOW,114,405,174,60,231,
2023-09-22,15:30,VDO,VDOW,52.5,458,209.5,157,248.5,
2023-09-22,16:00,VDO,VDOS,52.7,423,217,164.3,206,
2023-09-22,16:45,SLO,SLOC,73,170,79.5,6.5,90.5,
2023-09-22,17:00,SLO,SLOW,115,405,177.5,62.5,227.5,
2023-09-29,9:30,VDO,VDOW,52.5,458,210,157.5,248,
2023-09-29,10:00,VDO,VDOS,52.7,423,218,165.3,205,
2023-09-29,10:30,SLO,SLOC,73,170,78,5,92,
2023-09-29,11:00,SLO,SLOW,115,405,176,61,229,
2023-10-06,8:45,VDO,VDOW,52.5,458,211,158.5,247,
2023-10-06,9:30,VDO,VDOS,52.7,423,219,166.3,204,
2023-10-06,10:15,SLO,SLOC,73,170,80,7,90,
2023-10-06,10:45,SLO,SLOW,115,405,177,62,228,
2023-10-13,8:45,VDO,VDOW,52.5,458,212,159.5,246,
2023-10-13,9:30,VDO,VDOS,52.7,423,219.5,166.8,203.5,
2023-10-13,10:15,SLO,SLOC,73,170,76,3,94,
2023-10-13,11:00,SLO,SLOW,115,405,174,59,231,
2023-10-20,8:30,VDO,VDOW,52.5,458,213,160.5,245,
2023-10-20,9:30,VDO,VDOS,52.7,423,219.5,166.8,203.5,
2023-10-20,10:15,SLO,SLOC,73,170,77,4,93,
2023-10-20,10:45,SLO,SLOW,115,405,174.5,59.5,230.5,
2023-10-27,8:45,VDO,VDOW,52.5,458,211,158.5,247,
2023-10-27,9:45,VDO,VDOS,52.7,423,219.5,166.8,203.5,
2023-10-27,10:45,SLO,SLOC,73,170,74,1,96,
2023-10-27,11:15,SLO,SLOW,115,405,171,56,234,
2023-11-03,8:45,VDO,VDOW,52.5,458,210,157.5,248,
2023-11-03,9:30,VDO,VDOS,52.7,423,219,166.3,204,
2023-11-03,10:30,SLO,SLOC,73,170,79,6,91,
2023-11-03,11:15,SLO,SLOW,115,405,173,58,232,
2023-11-10,9:00,VDO,VDOW,52.5,458,211.5,159,246.5,
2023-11-10,9:15,VDO,VDOS,52.7,423,218.5,165.8,204.5,
2023-11-10,10:00,SLO,SLOC,73,170,63.5,-9.5,106.5,
2023-11-10,10:30,SLO,SLOW,115,405,153,38,252,
2023-11-17,8:45,VDO,VDOW,52.5,458,210.5,158,247.5,
2023-11-17,9:30,VDO,VDOS,52.7,423,217,164.3,206,
2023-11-17,10:30,SLO,SLOC,73,170,64,-9,106,
2023-11-17,11:00,SLO,SLOW,115,405,150,35,255,
2023-11-22,13:30,VDO,VDOW,52.5,458,211,158.5,247,
2023-11-22,13:45,VDO,VDOS,52.7,423,218,165.3,205,
2023-11-22,14:45,SLO,SLOC,73,170,62,-11,108,
2023-11-22,15:15,SLO,SLOW,115,405,146,31,259,
2023-12-01,8:30,VDO,VDOW,52.5,458,213,160.5,245,
2023-12-01,9:00,VDO,VDOS,52.7,423,220,167.3,203,
2023-12-01,9:45,SLO,SLOC,73,170,61,-12,109,
2023-12-01,10:15,SLO,SLOW,115,405,147,32,258,
2023-12-08,8:45,VDO,VDOW,52.5,458,213,160.5,245,
2023-12-08,9:15,VDO,VDOS,52.7,423,220.5,167.8,202.5,
2023-12-08,9:45,SLO,SLOC,73,170,60,-13,110,
2023-12-08,10:15,SLO,SLOW,115,405,142,27,263,
2023-12-21,13:30,VDO,VDOW,52.5,458,216,163.5,242,
2023-12-21,14:00,VDO,VDOS,52.7,423,221,168.3,202,
2023-12-21,14:45,SLO,SLOC,73,170,58,-15,112,
2023-12-21,15:15,SLO,SLOW,115,405,138,23,267,
2024-01-05,15:00,VDO,VDOW,52.5,458,,,,beeper batteries dead; measurements could not be taken
2024-01-05,15:00,VDO,VDOS,52.7,423,,,,
2024-01-05,16:00,SLO,SLOC,73,170,,,,
2024-01-05,16:45,SLO,SLOW,115,405,,,,
2024-01-19,14:45,VDO,VDOW,52.5,458,220,167.5,238,
2024-01-19,15:15,VDO,VDOS,52.7,423,227,174.3,196,
2024-01-19,16:00,SLO,SLOC,73,170,86,13,84,
2024-01-19,16:30,SLO,SLOW,115,405,172,57,233,
2024-01-25,11:45,VDO,VDOW,52.5,458,220,167.5,238,
2024-01-25,12:15,VDO,VDOS,52.7,423,227,174.3,196,
2024-01-25,13:00,SLO,SLOC,73,170,84.5,11.5,85.5,
2024-01-25,13:30,SLO,SLOW,115,405,171,56,234,
2024-02-06,8:45,VDO,VDOW,52.5,458,223,170.5,235,
2024-02-06,9:30,VDO,VDOS,52.7,423,229,176.3,194,
2024-02-06,10:30,SLO,SLOC,73,170,85,12,85,
2024-02-06,11:00,SLO,SLOW,115,405,171,56,234,
2024-02-20,11:30,VDO,VDOW,52.5,458,224,171.5,234,
2024-02-20,12:15,VDO,VDOS,52.7,423,232,179.3,191,
2024-02-20,13:00,SLO,SLOC,73,170,84,11,86,
2024-02-20,13:30,SLO,SLOW,115,405,170,55,235,
2024-03-05,13:00,VDO,VDOW,52.5,458,222,169.5,236,
2024-03-05,13:30,VDO,VDOS,52.7,423,228,175.3,195,
2024-03-05,14:15,SLO,SLOC,73,170,77,4,93,
2024-03-05,14:30,SLO,SLOW,115,405,163.5,48.5,241.5,
2024-03-19,13:00,VDO,VDOW,52.5,458,220,167.5,238,
2024-03-19,13:30,VDO,VDOS,52.7,423,228,175.3,195,
2024-03-19,14:00,SLO,SLOC,73,170,70,-3,100,
2024-03-19,14:30,SLO,SLOW,115,405,157,42,248,
2024-04-02,8:45,VDO,VDOW,52.5,458,216.5,164,241.5,
2024-04-02,9:15,VDO,VDOS,52.7,423,224.5,171.8,198.5,
2024-04-02,9:45,SLO,SLOC,73,170,70,-3,100,
2024-04-02,10:15,SLO,SLOW,115,405,156,41,249,
2024-04-16,13:15,VDO,VDOW,52.5,458,209,156.5,249,
2024-04-16,14:00,VDO,VDOS,52.7,423,216,163.3,207,
2024-04-16,14:45,SLO,SLOC,73,170,79,6,91,
2024-04-16,15:30,SLO,SLOW,115,405,163,48,242,
2024-04-30,9:15,VDO,VDOW,52.5,458,211,158.5,247,
2024-04-30,9:45,VDO,VDOS,52.7,423,217,164.3,206,
2024-04-30,10:30,SLO,SLOC,73,170,40,-33,130,
2024-04-30,11:15,SLO,SLOW,115,405,124,9,281,
2024-05-03,10:30,SLO,SLOW,115,405,132,17,273,
2024-05-14,13:15,VDO,VDOW,52.5,458,175,122.5,283,
2024-05-14,14:00,VDO,VDOS,52.7,423,170.5,117.8,252.5,
2024-05-14,14:30,SLO,SLOC,73,170,52,-21,118,
2024-05-14,14:45,SLO,SLOW,115,405,131.5,16.5,273.5,
2024-05-28,12:00,VDO,VDOW,52.5,458,185,132.5,273,
2024-05-28,12:15,VDO,VDOS,52.7,423,192,139.3,231,
2024-05-28,14:45,SLO,SLOC,73,170,59,-14,111,
2024-05-28,15:30,SLO,SLOW,115,405,142,27,263,
2024-06-10,9:30,VDO,VDOW,52.5,458,201.5,149,256.5,
2024-06-10,10:00,VDO,VDOS,52.7,423,210,157.3,213,
2024-06-10,11:00,SLO,SLOC,73,170,68,-5,102,
2024-06-10,11:15,SLO,SLOW,115,405,153,38,252,
2024-06-24,10:00,VDO,VDOW,52.5,458,201,148.5,257,
2024-06-24,10:45,VDO,VDOS,52.7,423,210,157.3,213,
2024-06-24,11:15,SLO,SLOC,73,170,62,-11,108,
2024-06-24,12:00,SLO,SLOW,115,405,154,39,251,
2024-07-09,11:15,VDO,VDOW,52.5,458,208,155.5,250,
2024-07-09,11:45,VDO,VDOS,52.7,423,215,162.3,208,
2024-07-09,13:15,SLO,SLOC,73,170,75,2,95,
2024-07-09,13:45,SLO,SLOW,115,405,166,51,239,
2024-07-22,9:15,VDO,VDOW,52.5,458,212,159.5,246,
2024-07-22,10:00,VDO,VDOS,52.7,423,221,168.3,202,
2024-07-22,10:45,SLO,SLOC,73,170,70,-3,100,
2024-07-22,11:00,SLO,SLOW,115,405,162,47,243,
2024-08-05,9:15,VDO,VDOW,52.5,458,215,162.5,243,
2024-08-05,9:30,VDO,VDOS,52.7,423,224,171.3,199,
2024-08-05,10:15,SLO,SLOC,73,170,76,3,94,
2024-08-05,10:45,SLO,SLOW,115,405,169,54,236,
2024-08-21,9:00,VDO,VDOW,52.5,458,222,169.5,236,
2024-08-21,9:45,VDO,VDOS,52.7,423,230,177.3,193,
2024-08-21,10:45,SLO,SLOC,73,170,77,4,93,
2024-08-21,11:45,SLO,SLOW,115,405,169,54,236,
2024-09-04,10:45,VDO,VDOW,52.5,458,220,167.5,238,
2024-09-04,11:45,VDO,VDOS,52.7,423,227,174.3,196,
2024-09-04,12:45,SLO,SLOC,73,170,73,0,97,
2024-09-04,13:15,SLO,SLOW,115,405,164,49,241,
