response,predictor,random_structure,model_type,n,delta_AICc,coef,p_value,R2_marginal,R2_conditional,n_loo_flagged
accrual_rate_hourly_areal_gO2_m2_hr,DTW_mean_2d_within,nested,within/between,52,5.41397131813568,2.338066100456222,0.014309085217543482,0.2603161552204439,0.27651310207543733,0
accrual_rate_hourly_areal_gO2_m2_hr,DTW_mean_2d_between,nested,within/between,52,5.41397131813568,-0.5716217217693664,0.20559644222087736,0.2603161552204439,0.27651310207543733,0
accrual_rate_hourly_areal_gO2_m2_hr,DTW_mean_2d_within,well_only,within/between,52,5.625800999999825,2.338066100456223,0.014306376163692791,0.260300236805034,0.27653325556376623,0
accrual_rate_hourly_areal_gO2_m2_hr,DTW_mean_2d_between,well_only,within/between,52,5.625800999999825,-0.5715808223018048,0.0961580990156119,0.260300236805034,0.27653325556376623,0
accrual_rate_hourly_areal_gO2_m2_hr,DTW_sd_2d_within,nested,within/between,52,-3.1903158133059435,10.404342462596246,0.27808285245445874,0.05753528380281828,0.1947582867099285,1
accrual_rate_hourly_areal_gO2_m2_hr,DTW_sd_2d_between,nested,within/between,52,-3.1903158133059435,65.36023231182641,0.5556292026762755,0.05753528380281828,0.1947582867099285,1
accrual_rate_hourly_areal_gO2_m2_hr,DTW_sd_2d_within,well_only,within/between,52,-2.977327981163228,10.404342462596242,0.2781040435120078,0.057647007657149425,0.1945559284891946,1
accrual_rate_hourly_areal_gO2_m2_hr,DTW_sd_2d_between,well_only,within/between,52,-2.977327981163228,65.44703367438942,0.4889168279570565,0.057647007657149425,0.1945559284891946,1
accrual_rate_hourly_areal_gO2_m2_hr,fDOM_mean_2d_within,nested,within/between,52,-3.4287306546940215,-0.00441484257656942,0.6545097155620176,0.06578280059383217,0.1788733343379636,5
accrual_rate_hourly_areal_gO2_m2_hr,fDOM_mean_2d_between,nested,within/between,52,-3.4287306546940215,0.02626544400272512,0.42596948850568184,0.06578280059383217,0.1788733343379636,0
accrual_rate_hourly_areal_gO2_m2_hr,fDOM_mean_2d_within,well_only,within/between,52,-3.2154762465756903,-0.004414842576569426,0.654508403017829,0.0659050808664021,0.17889854901341418,5
accrual_rate_hourly_areal_gO2_m2_hr,fDOM_mean_2d_between,well_only,within/between,52,-3.2154762465756903,0.026291430522894687,0.3331142117940592,0.0659050808664021,0.17889854901341418,0
accrual_rate_hourly_areal_gO2_m2_hr,temp_mean_2d_within,nested,within/between,52,0.09405975202520267,0.04144109540973855,0.23212071816028612,0.17668313442040415,0.2015196142015085,1
accrual_rate_hourly_areal_gO2_m2_hr,temp_mean_2d_between,nested,within/between,52,0.09405975202520267,0.14194163719718514,0.23386293569352412,0.17668313442040415,0.2015196142015085,0
accrual_rate_hourly_areal_gO2_m2_hr,temp_mean_2d_within,well_only,within/between,52,0.30598266329062085,0.041441095409738574,0.23212608473039742,0.17667920681401966,0.20146505233441553,1
accrual_rate_hourly_areal_gO2_m2_hr,temp_mean_2d_between,well_only,within/between,52,0.30598266329062085,0.14193615483316516,0.12156637134620929,0.17667920681401966,0.20146505233441553,0
accrual_total_areal_gO2_m2,DTW_mean_2d_within,nested,within/between,52,-1.430321437926409,0.5348362269617225,0.5544416849624463,0.07830482359560015,0.07834608045157099,3
accrual_total_areal_gO2_m2,DTW_mean_2d_between,nested,within/between,52,-1.430321437926409,-0.3233363603000958,0.29594311574046506,0.07830482359560015,0.07834608045157099,0
accrual_total_areal_gO2_m2,DTW_mean_2d_within,well_only,within/between,52,-1.1218876070973351,0.5348362269617227,0.5544363730289608,0.07831497989780739,0.07838507376338308,3
accrual_total_areal_gO2_m2,DTW_mean_2d_between,well_only,within/between,52,-1.1218876070973351,-0.3233619051873318,0.18436594274316054,0.07831497989780739,0.07838507376338308,0
accrual_total_areal_gO2_m2,DTW_sd_2d_within,nested,within/between,52,-1.941594476435938,14.149044447979426,0.11161839058131717,0.06509677986784511,0.10333441246782771,1
accrual_total_areal_gO2_m2,DTW_sd_2d_between,nested,within/between,52,-1.941594476435938,39.90253639427232,0.5656237232179859,0.06509677986784511,0.10333441246782771,0
accrual_total_areal_gO2_m2,DTW_sd_2d_within,well_only,within/between,52,-1.6321418591216172,14.149044447979428,0.11162312430666843,0.06512635991442509,0.10330503864875779,1
accrual_total_areal_gO2_m2,DTW_sd_2d_between,well_only,within/between,52,-1.6321418591216172,39.93340675958609,0.501407788026363,0.06512635991442509,0.10330503864875779,0
accrual_total_areal_gO2_m2,fDOM_mean_2d_within,nested,within/between,52,0.5284600195925009,-0.0070766727369636784,0.43005748315160064,0.11295293130148908,0.11298590191367877,1
accrual_total_areal_gO2_m2,fDOM_mean_2d_between,nested,within/between,52,0.5284600195925009,0.029267355001992255,0.24941115915803613,0.11295293130148908,0.11298590191367877,0
accrual_total_areal_gO2_m2,fDOM_mean_2d_within,well_only,within/between,52,0.8369559550121437,-0.007076672736963676,0.4300572463622214,0.11296396407958269,0.11300064190653103,1
accrual_total_areal_gO2_m2,fDOM_mean_2d_between,well_only,within/between,52,0.8369559550121437,0.02926919154293213,0.13656770024875264,0.11296396407958269,0.11300064190653103,0
accrual_total_areal_gO2_m2,temp_mean_2d_within,nested,within/between,52,-1.2472870911479959,-0.0269457852902376,0.4016237614779692,0.0816020714999137,0.08164893202692665,2
accrual_total_areal_gO2_m2,temp_mean_2d_between,nested,within/between,52,-1.2472870911479959,0.08228140403362566,0.301330703326658,0.0816020714999137,0.08164893202692665,0
accrual_total_areal_gO2_m2,temp_mean_2d_within,well_only,within/between,52,-0.9388595952119658,-0.026945785290237584,0.4016157949676217,0.08161362496457472,0.0816959296234367,2
accrual_total_areal_gO2_m2,temp_mean_2d_between,well_only,within/between,52,-0.9388595952119658,0.08228915674602091,0.1901648915605627,0.08161362496457472,0.0816959296234367,0
ER_rate_mag,DTW_mean_2d_within,nested,within/between,30,-5.7338336310702545,0.6033945777726317,0.5767564470130981,0.010914309929211998,0.01095945547868936,2
ER_rate_mag,DTW_mean_2d_between,nested,within/between,30,-5.7338336310702545,-0.0074509673245899645,0.9746906260371377,0.010914309929211998,0.01095945547868936,27
ER_rate_mag,DTW_mean_2d_within,well_only,within/between,30,-5.25859057328951,0.6033956961848096,0.5767569634235429,0.010914300510047237,0.01097606890585938,2
ER_rate_mag,DTW_mean_2d_between,well_only,within/between,30,-5.25859057328951,-0.007453669649138084,0.97187590135661,0.010914300510047237,0.01097606890585938,27
ER_rate_mag,DTW_sd_2d_within,nested,within/between,30,-5.489512838169361,-2.7861783056254383,0.7280791154516327,0.019211980630428335,0.01925317626424085,4
