Total magnitudes ~ DTW (~1 |siteID/wellID),,,,,,,,,,,Total magnitudes ~ DTW (~1 |wellID),,,,,,,,,
response,predictor,random_structure,n,delta_AICc,coef,p_value,R2_marginal,R2_conditional,n_loo_flagged,,response,predictor,random_structure,n,delta_AICc,coef,p_value,R2_marginal,R2_conditional,n_loo_flagged
accrual_total_areal_gO2_m2,DTW_mean_2d_between,nested,52,-1.4,-0.32,0.30,0.08,0.08,0,,accrual_total_areal_gO2_m2,DTW_sd_2d_between,well_only,52,-1.6,39.9,0.50,0.07,0.10,0
accrual_total_areal_gO2_m2,DTW_mean_2d_within,nested,52,-1.4,0.53,0.55,0.08,0.08,3,,accrual_total_areal_gO2_m2,DTW_sd_2d_within,well_only,52,-1.6,14.1,0.11,0.07,0.10,1
ER_total_mag,DTW_mean_2d_between,nested,30,-6.0,-0.02,0.94,0.00,0.00,22,,ER_total_mag,DTW_sd_2d_between,well_only,30,-3.2,-38.9,0.50,0.08,0.08,1
ER_total_mag,DTW_mean_2d_within,nested,30,-6.0,-0.29,0.82,0.00,0.00,7,,ER_total_mag,DTW_sd_2d_within,well_only,30,-3.2,12.2,0.19,0.08,0.08,1
gross_total_areal_gO2_m2,DTW_mean_2d_between,nested,52,-1.5,-0.33,0.29,0.08,0.08,0,,gross_total_areal_gO2_m2,DTW_sd_2d_between,well_only,52,-1.7,40.5,0.51,0.06,0.10,0
gross_total_areal_gO2_m2,DTW_mean_2d_within,nested,52,-1.5,0.49,0.60,0.08,0.08,5,,gross_total_areal_gO2_m2,DTW_sd_2d_within,well_only,52,-1.7,14.2,0.12,0.06,0.10,1
,,,,,,,,,,,,,,,,,,,,
accrual_total_areal_gO2_m2,DTW_sd_2d_between,nested,52,-1.9,39.9,0.57,0.07,0.10,0,,,,,,,,,,,
accrual_total_areal_gO2_m2,DTW_sd_2d_within,nested,52,-1.9,14.1,0.11,0.07,0.10,1,,,,,,,,,,,
ER_total_mag,DTW_sd_2d_between,nested,30,-3.7,-38.9,0.56,0.08,0.08,1,,,,,,,,,,,
ER_total_mag,DTW_sd_2d_within,nested,30,-3.7,12.2,0.19,0.08,0.08,1,,,,,,,,,,,
gross_total_areal_gO2_m2,DTW_sd_2d_between,nested,52,-2.0,40.5,0.57,0.06,0.10,0,,,,,,,,,,,
gross_total_areal_gO2_m2,DTW_sd_2d_within,nested,52,-2.0,14.2,0.12,0.06,0.10,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Rates ~ DTW (~1 |siteID/wellID),,,,,,,,,,,,,,,,,,,,
response,predictor,random_structure,n,delta_AICc,coef,p_value,R2_marginal,R2_conditional,n_loo_flagged,,,,,,,,,,,
accrual_rate_hourly_areal_gO2_m2_hr,DTW_mean_2d_between,nested,52,5.41,-0.57,0.21,0.26,0.28,0,,,,,,,,,,,
accrual_rate_hourly_areal_gO2_m2_hr,DTW_mean_2d_within,nested,52,5.41,2.3,0.01,0.26,0.28,0,,,,,,,,,,,
ER_rate_mag,DTW_mean_2d_between,nested,30,-5.73,0.0,0.97,0.01,0.01,27,,,,,,,,,,,
ER_rate_mag,DTW_mean_2d_within,nested,30,-5.73,0.6,0.58,0.01,0.01,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
accrual_rate_hourly_areal_gO2_m2_hr,DTW_sd_2d_between,nested,52,-3.19,65.4,0.56,0.06,0.19,1,,,,,,,,,,,
accrual_rate_hourly_areal_gO2_m2_hr,DTW_sd_2d_within,nested,52,-3.19,10.4,0.28,0.06,0.19,1,,,,,,,,,,,
ER_rate_mag,DTW_sd_2d_between,nested,30,-5.49,-27.6,0.63,0.02,0.02,4,,,,,,,,,,,
ER_rate_mag,DTW_sd_2d_within,nested,30,-5.49,-2.8,0.73,0.02,0.02,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
accrual_rate_hourly_areal_gO2_m2_hr,fDOM_mean_2d_between,nested,52,-3.428730655,0.026265444,0.42596948850568184,0.065782801,0.1788733343379636,0,,,,,,,,,,,
accrual_rate_hourly_areal_gO2_m2_hr,fDOM_mean_2d_within,nested,52,-3.428730655,-0.004414843,0.6545097155620176,0.065782801,0.1788733343379636,5,,,,,,,,,,,
accrual_rate_hourly_areal_gO2_m2_hr,temp_mean_2d_between,nested,52,0.094059752,0.14194163719718514,0.23386293569352412,0.17668313442040415,0.2015196142015085,0,,,,,,,,,,,
accrual_rate_hourly_areal_gO2_m2_hr,temp_mean_2d_within,nested,52,0.094059752,0.041441095,0.23212071816028612,0.17668313442040415,0.2015196142015085,1,,,,,,,,,,,
accrual_total_areal_gO2_m2,fDOM_mean_2d_between,nested,52,0.5284600195925009,0.029267355001992255,0.24941115915803613,0.11295293130148908,0.11298590191367877,0,,,,,,,,,,,
accrual_total_areal_gO2_m2,fDOM_mean_2d_within,nested,52,0.5284600195925009,-0.007076673,0.43005748315160064,0.11295293130148908,0.11298590191367877,1,,,,,,,,,,,
accrual_total_areal_gO2_m2,temp_mean_2d_between,nested,52,-1.247287091,0.082281404,0.301330703,0.081602071,0.081648932,0,,,,,,,,,,,
accrual_total_areal_gO2_m2,temp_mean_2d_within,nested,52,-1.247287091,-0.026945785,0.4016237614779692,0.081602071,0.081648932,2,,,,,,,,,,,
ER_rate_mag,fDOM_mean_2d_between,nested,30,-5.45840182,0.010328352,0.58615868,0.020258414,0.020295468,3,,,,,,,,,,,
ER_rate_mag,fDOM_mean_2d_within,nested,30,-5.45840182,0.001633401,0.8591160454268165,0.020258414,0.020295468,12,,,,,,,,,,,
ER_rate_mag,temp_mean_2d_between,nested,30,-6.044468725,-0.003358351,0.9564161928660161,2.656512106435846e-4,3.124412525058043e-4,24,,,,,,,,,,,
