group,response,predictor,label,n,n_wells,R2_marginal,R2_conditional,delta_AICc,term,estimate,se,df,t_value,p_value,ci_lower,ci_upper,estimate_backtransformed,ci_lower_backtransformed,ci_upper_backtransformed,n_loo_flagged
DTW_mean_2d_within,ER_rate_mag,DTW_mean_2d,ER_rate_mag ~ DTW_mean_2d (DTW_mean_2d_within),51,4,9.722406927586129e-4,0.07110912058530391,-4.995803021524338,(Intercept),-1.2117244957756357,0.21176850656774104,46,-5.721929645794741,7.54582378538022e-7,-1.6252650970267513,-0.7981838945245201,0.2976834826287421,0.19685948142307858,0.45014573435520533,NA
DTW_mean_2d_within,ER_rate_mag,DTW_mean_2d,ER_rate_mag ~ DTW_mean_2d (DTW_mean_2d_within),51,4,9.722406927586129e-4,0.07110912058530391,-4.995803021524338,pred_within,0.0012945144962285043,0.007038716341576801,46,0.18391343441160884,0.8548897087875382,-0.012450659586116034,0.015039688578573043,1.001295352741787,0.9876265291934376,1.0151533538098496,14
DTW_mean_2d_within,ER_rate_mag,DTW_mean_2d,ER_rate_mag ~ DTW_mean_2d (DTW_mean_2d_within),51,4,9.722406927586129e-4,0.07110912058530391,-4.995803021524338,pred_between,-1.5616338014745178e-4,0.001843512629296983,1,-0.08470968826885884,0.9462005756231024,-0.022880828745044237,0.022568501984749335,0.9998438488127185,0.9773789523096025,1.0228250973139035,35
DTW_mean_2d_within,ER_total_mag,DTW_mean_2d,ER_total_mag ~ DTW_mean_2d (DTW_mean_2d_within),30,4,0.002235774916048958,0.0023388670031675514,-5.98723473820651,(Intercept),-0.2912275058119226,0.30029786471619263,25,-0.9697954598750067,0.3414381580254594,-0.877964436742486,0.29550942511864087,0.7473456332006643,0.41562808844999927,1.3438107553005125,NA
DTW_mean_2d_within,ER_total_mag,DTW_mean_2d,ER_total_mag ~ DTW_mean_2d (DTW_mean_2d_within),30,4,0.002235774916048958,0.0023388670031675514,-5.98723473820651,pred_within,-0.0028910390544451088,0.013112815662624787,25,-0.22047431526742067,0.8272923674675896,-0.0285115116642586,0.022729433555368384,0.9971131359746023,0.9718911059976314,1.022989715409052,7
DTW_mean_2d_within,ER_total_mag,DTW_mean_2d,ER_total_mag ~ DTW_mean_2d (DTW_mean_2d_within),30,4,0.002235774916048958,0.0023388670031675514,-5.98723473820651,pred_between,-2.0526695863502353e-4,0.002302658504095125,1,-0.08914346537707173,0.943399118356175,-0.027961890697647734,0.027551356780377692,0.9997947541071858,0.9724254245496391,1.0279344051531658,22
DTW_mean_2d_within,accrual_total_areal_gO2_m2,DTW_mean_2d,accrual_total_areal_gO2_m2 ~ DTW_mean_2d (DTW_mean_2d_within),52,4,0.07830482359560015,0.07834608045157099,-1.430321437926409,(Intercept),-0.6760639127780443,0.18768737834853413,47,-3.602074464072903,7.590180928092659e-4,-1.0425887405571448,-0.3095390849989438,0.5086150106432,0.3525408628191508,0.7337850908485662,NA
DTW_mean_2d_within,accrual_total_areal_gO2_m2,DTW_mean_2d,accrual_total_areal_gO2_m2 ~ DTW_mean_2d (DTW_mean_2d_within),52,4,0.07830482359560015,0.07834608045157099,-1.430321437926409,pred_within,0.005348362269617225,0.009253922425383044,47,0.5779562464179445,0.5660526033232686,-0.01272313701333478,0.023419861552569234,1.0053626902915291,0.9873574599170268,1.0236962600304458,3
DTW_mean_2d_within,accrual_total_areal_gO2_m2,DTW_mean_2d,accrual_total_areal_gO2_m2 ~ DTW_mean_2d (DTW_mean_2d_within),52,4,0.07830482359560015,0.07834608045157099,-1.430321437926409,pred_between,-0.003233363603000958,0.0016705143699324405,1,-1.935549709238193,0.3035899612309434,-0.02383788033872033,0.017371153132718413,0.9967718580877026,0.9764439976969342,1.0175229090649678,0
DTW_mean_2d_within,gross_total_areal_gO2_m2,DTW_mean_2d,gross_total_areal_gO2_m2 ~ DTW_mean_2d (DTW_mean_2d_within),52,4,0.07771115066782942,0.07775159168802029,-1.4688617739670349,(Intercept),-0.014985644633972076,0.1920170153844775,47,-0.07804331612990743,0.9381249114380077,-0.389965593278996,0.35999430401105187,0.9851260813470388,0.6770801702059116,1.4333212503550876,NA
DTW_mean_2d_within,gross_total_areal_gO2_m2,DTW_mean_2d,gross_total_areal_gO2_m2 ~ DTW_mean_2d (DTW_mean_2d_within),52,4,0.07771115066782942,0.07775159168802029,-1.4688617739670349,pred_within,0.004876602565207479,0.009467464341162921,47,0.5150906715333315,0.6089038780315533,-0.013611911514336201,0.02336511664475116,1.004888512543704,0.9864803116345323,1.0236402194070402,5
