response,wellID,is_reference,term,estimate,SE,df,t_value,p_value,estimate_CI_lower,estimate_CI_upper,mean_geometric,mean_geometric_CI_lower,mean_geometric_CI_upper
gross_total_areal_gO2_m2,SLOC,TRUE,(Intercept),0.040689225655154516,0.5056531106856289,47,0.08046865488473487,0.936206200656793,-0.9765536230046066,1.0579320743149156,1.0415283749461408,0.3766067938328159,2.8804083558288305
gross_total_areal_gO2_m2,SLOW,FALSE,wellIDSLOW,-0.01346904333762832,0.359865011948403,47,-0.03742804354528218,0.9703022367578041,-0.7374240673480768,0.7104859806728201,1.027594035892607,0.3421361755994244,3.0863427427749417
gross_total_areal_gO2_m2,VDOS,FALSE,wellIDVDOS,0.8688474172105928,0.7388533168669805,47,1.175940335349426,0.24554098054365237,-0.6175337340343278,2.355228568455513,2.4831716714658194,0.8401052882012898,7.339724718519969
gross_total_areal_gO2_m2,VDOW,FALSE,wellIDVDOW,0.2201207466997691,0.7211127917880905,47,0.30525147966651905,0.7615224293672866,-1.2305710715091096,1.6708125649086476,1.2979809897259988,0.46141172297890903,3.651304389956067
ER_total_mag,SLOC,TRUE,(Intercept),-0.24525990966623507,0.6631736515793701,25,-0.3698275844978769,0.7146254423849282,-1.6110916122641306,1.1205717929316603,0.7825011322013161,0.19966953335562201,3.0666071663812056
ER_total_mag,SLOW,FALSE,wellIDSLOW,-0.21505959780601483,0.6773716389489824,25,-0.31749129346440275,0.7535074037666543,-1.610132602763131,1.1800134071511015,0.6310819778839492,0.11058867805122843,3.601313170824121
ER_total_mag,VDOS,FALSE,wellIDVDOS,0.492038652243754,0.95403742420396,25,0.5157435544567934,0.6105648454672076,-1.4728382036737533,2.456915508161261,1.2798958949806378,0.3116879945574014,5.2556836663357736
ER_total_mag,VDOW,FALSE,wellIDVDOW,-0.22867704874203523,0.9166624778226845,25,-0.24946701133137206,0.8050378956149118,-2.116578761680218,1.6592246641961477,0.6225464976527753,0.1690991830176189,2.2919338510308207
accrual_total_areal_gO2_m2,SLOC,TRUE,(Intercept),-0.6163511663452761,0.49441500601337945,47,-1.2466271428836788,0.21871158057833553,-1.6109858645383373,0.37828353184778496,0.5399108928151565,0.19969064907113435,1.4597767774124422
accrual_total_areal_gO2_m2,SLOW,FALSE,wellIDSLOW,-0.033664433516898636,0.35186703747401904,47,-0.09567373448382283,0.9241864733376861,-0.7415296082494524,0.6742007412156551,0.5220376329823707,0.1781124844043334,1.5300628204768674
accrual_total_areal_gO2_m2,VDOS,FALSE,wellIDVDOS,0.8421227212739297,0.7224323540825704,47,1.1656769198042856,0.24962675612232973,-0.6112237138631444,2.295469156411004,1.2532893248036747,0.4343491626758851,3.6162936794676077
accrual_total_areal_gO2_m2,VDOW,FALSE,wellIDVDOW,0.20937947747115573,0.7050861109205995,47,0.2969558954973291,0.767808643351707,-1.2090708175359735,1.6278297724782849,0.6656630357047499,0.24213508412358414,1.8300003021350848
ER_rate_mag,SLOC,TRUE,(Intercept),-1.4021322238208853,0.5791565802109249,25,-2.4209898872429947,0.02307037326736812,-2.5949275288460427,-0.20933691879572813,0.2460717241842882,0.0746512859432402,0.8111219073850583
ER_rate_mag,SLOW,FALSE,wellIDSLOW,0.6620048223809241,0.5915558330916397,25,1.1190910229404682,0.2737388780398427,-0.5563272219774027,1.8803368667392508,0.4770531343930553,0.10423566719718665,2.1833188116282423
ER_rate_mag,VDOS,FALSE,wellIDVDOS,0.3388087427118025,0.8331709962832019,25,0.4066497084310872,0.687725673542513,-1.377139045169326,2.0547565305929307,0.3453062822647932,0.10056991872982535,1.1856072877204369
ER_rate_mag,VDOW,FALSE,wellIDVDOW,-0.02728822724141764,0.8005310593977818,25,-0.03408765583929479,0.9730779611298037,-1.676012806747589,1.6214363522647537,0.23944765367236528,0.0767167749612674,0.7473616934255678
accrual_rate_hourly_areal_gO2_m2_hr,SLOC,TRUE,(Intercept),-0.46199400644660565,0.5320379514109653,47,-0.8683478410165985,0.38961641226788035,-1.5323163081418332,0.6083282952486218,0.6300261160257624,0.21603468442617196,1.8373573110671306
accrual_rate_hourly_areal_gO2_m2_hr,SLOW,FALSE,wellIDSLOW,0.7883972728027744,0.3786426696394738,47,2.0821670034004622,0.04279676062242881,0.026666474062249534,1.5501280715432992,1.3859741729462385,0.43572285816575385,4.408592232595859
accrual_rate_hourly_areal_gO2_m2_hr,VDOS,FALSE,wellIDVDOS,1.3813041318673185,0.7774064804349622,47,1.776810673220106,0.08207172388644418,-0.18263598045976126,2.9452442441943982,2.5075598912663843,0.8017125802567708,7.843030985336442
accrual_rate_hourly_areal_gO2_m2_hr,VDOW,FALSE,wellIDVDOW,0.7446198638311764,0.7587402596198081,47,0.9813896842699409,0.3314256135055401,-0.7817686558438318,2.2710083835061847,1.3266087280952619,0.4468122473154143,3.938770094223008
